SPEED,DIRECTION
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,180
0,0
0,0
0,140
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,40
1,90
1,90
1,40
1,90
1,40
1,40
1,40
1,90
1,90
1,140
1,180
1,40
1,90
1,40
1,90
1,40
1,180
1,220
1,220
1,220
1,320
1,220
1,270
1,270
1,220
1,220
1,220
1,180
1,140
1,140
1,140
1,90
1,90
1,90
1,140
1,40
1,220
1,90
1,140
1,140
1,140
1,140
1,140
1,40
1,90
1,90
1,140
1,90
1,20
1,180
1,140
1,180
1,220
1,90
1,220
1,220
1,140
1,140
1,140
1,220
1,40
1,40
1,40
1,90
1,90
1,220
1,220
1,220
1,320
1,220
1,140
1,90
1,40
1,40
1,40
1,40
1,140
1,180
1,180
1,320
1,220
1,220
1,220
1,320
1,40
1,90
1,90
1,90
1,140
1,140
1,160
1,40
1,40
1,40
1,40
1,40
1,140
1,90
1,90
1,40
1,40
1,40
1,40
1,40
1,90
1,140
1,90
1,90
1,90
1,180
1,220
1,180
1,140
1,140
1,140
1,220
1,220
1,220
1,220
1,220
1,220
1,250
1,270
1,220
1,220
1,220
1,140
1,40
1,320
1,320
1,320
1,220
1,270
1,270
1,270
1,140
1,40
1,40
1,40
1,140
1,40
1,40
1,340
1,320
1,320
1,40
1,40
1,90
1,90
1,90
1,110
1,90
1,90
1,110
1,90
1,140
1,140
1,90
1,90
1,90
1,90
1,90
1,90
1,140
1,90
1,90
1,180
1,180
1,140
1,140
1,140
1,270
1,220
1,220
1,90
1,220
1,220
1,220
1,180
1,140
1,140
1,40
1,40
1,320
1,320
1,320
1,140
1,180
1,140
1,320
1,320
1,140
1,140
1,140
1,320
1,220
1,140
1,40
1,40
1,180
1,90
1,90
1,140
1,90
1,40
1,40
1,140
1,90
1,140
1,180
1,220
1,140
1,40
1,40
1,220
1,270
1,40
1,220
1,180
1,110
1,90
1,200
1,200
1,320
1,90
1,90
1,90
1,70
1,180
1,180
1,220
1,180
1,180
1,220
1,140
1,180
1,220
1,220
1,220
1,110
1,90
1,220
1,220
1,180
1,110
1,90
1,140
1,20
1,270
1,220
1,220
1,180
1,70
1,40
1,360
1,340
1,140
1,40
1,40
1,140
1,320
1,40
1,40
1,70
1,40
1,40
1,140
1,290
1,140
1,90
1,90
1,90
1,40
1,40
1,140
