Hs,direction
0,
0.000403975,
0.000569198,
0.000741764,
0.000964627,
0.00127486,
0.00172059,
0.0023632,
0.00327231,
0.00451714,
0.00617052,
0.0083042,147.488
0.0109854,146.859
0.0142699,146.313
0.0182247,145.627
0.0229487,141.116
0.0286865,140.725
0.035819,140.075
0.0449926,139.35
0.0576741,138.399
0.0769422,136.506
0.106757,131.476
0.146346,123.711
0.184326,117.153
0.209425,114.76
0.221612,114.14
0.230907,114.28
0.24312,114.563
0.255828,114.654
0.266126,114.526
0.273729,114.326
0.27934,114.161
0.283536,114.127
0.286555,114.303
0.28827,114.594
0.289128,114.931
0.289696,115.306
0.290394,115.753
0.291079,116.299
0.29129,116.945
0.290984,117.717
0.290092,118.582
0.288559,119.489
0.286434,120.42
0.28395,121.382
0.281381,122.377
0.279227,123.373
0.277732,124.327
0.276928,125.201
0.275893,125.839
0.274213,126.221
0.271911,126.396
0.270763,126.629
0.271667,126.971
0.274567,127.326
0.278671,127.511
0.283551,127.475
0.289156,127.253
0.294745,126.824
0.299882,126.228
0.304447,125.532
0.308219,124.766
0.311084,123.958
0.313053,123.126
0.313966,122.296
0.313838,121.48
0.312836,120.692
0.311294,119.959
0.309413,119.293
0.307244,118.686
0.30506,118.136
0.303053,117.636
0.301265,117.167
0.299517,116.699
0.297691,116.216
0.295778,115.717
0.293625,115.197
0.291145,114.66
0.288355,114.111
0.285595,113.614
0.283095,113.199
0.280846,112.853
0.278658,112.516
0.276386,112.157
0.273999,111.784
0.2715,111.377
0.268918,110.935
0.266283,110.468
0.26342,110.015
0.260164,109.584
0.256487,109.174
0.252553,108.81
0.248463,108.499
0.244194,108.231
0.240044,108.09
0.236241,108.114
0.232837,108.297
0.230769,108.734
0.230964,109.473
0.233552,110.431
0.235513,111.399
0.234989,112.25
0.232569,113.051
0.229409,113.829
0.226109,114.605
0.222878,115.373
0.220267,116.16
0.218584,116.966
0.217847,117.764
0.218109,118.564
0.219332,119.366
0.221385,120.155
0.224117,120.924
0.227325,121.664
0.230792,122.366
0.233633,122.971
0.235436,123.484
0.23631,123.957
0.237457,124.531
0.239563,125.217
0.24264,125.925
0.2461,126.453
0.249693,126.742
0.253467,126.824
0.25858,126.854
0.265533,126.837
0.274195,126.694
0.28344,126.309
0.292757,125.684
0.302252,124.886
0.31127,123.965
0.319494,122.999
0.326882,122.071
0.332573,121.237
0.33618,120.504
0.337896,119.869
0.337798,119.274
0.336053,118.708
0.332837,118.181
0.328725,117.743
0.324092,117.405
0.319059,117.137
0.31377,116.919
0.308342,116.728
0.302857,116.549
0.297245,116.347
0.291478,116.104
0.285608,115.822
0.279557,115.483
0.27327,115.082
0.266748,114.626
0.260025,114.09
0.253138,113.485
0.246106,112.838
0.239238,112.234
0.23276,111.721
0.226692,111.3
0.221155,111.004
0.21624,110.842
0.211979,110.802
0.208497,110.877
0.20592,111.054
0.204327,111.309
0.203963,111.63
0.205036,111.997
0.207593,112.38
0.212522,112.839
0.220305,113.333
0.230571,113.76
0.241415,114.109
0.251681,114.41
0.26132,114.697
0.27018,114.869
0.278415,114.928
0.286309,114.933
0.292865,114.837
0.297721,114.647
0.301216,114.396
0.302704,114.229
0.30199,114.18
0.299453,114.253
0.295372,114.438
0.290089,114.719
0.283972,115.078
0.277466,115.503
0.270873,115.985
0.264351,116.522
0.259174,117.322
0.256009,118.455
0.254821,119.831
0.255672,121.312
0.258548,122.78
0.263367,124.17
0.268485,125.212
0.273014,125.838
0.276969,126.115
0.280632,126.124
0.284224,125.936
0.287861,125.612
0.29149,125.196
0.294946,124.722
0.298085,124.209
0.300728,123.653
0.302815,123.052
0.304376,122.411
0.306227,121.815
0.30877,121.284
0.311952,120.782
0.314845,120.23
0.316978,119.615
0.318448,118.971
0.319271,118.302
0.319497,117.612
0.319232,116.914
0.318744,116.261
0.318157,115.668
0.317468,115.122
0.316815,114.611
0.316305,114.129
0.315954,113.667
0.315782,113.225
0.315794,112.8
0.315983,112.393
0.316101,112.053
0.315935,111.791
0.31543,111.599
0.314417,111.445
0.312861,111.318
0.310854,111.219
0.308172,111.055
0.304732,110.795
0.300628,110.464
0.29618,110.092
0.291642,109.696
0.287055,109.277
0.282597,108.869
0.278374,108.486
0.274329,108.121
0.271142,107.9
0.269442,107.891
0.269161,108.059
0.270277,108.466
0.27273,109.095
0.276202,109.862
0.278628,110.598
0.279086,111.256
0.277999,111.898
0.275876,112.535
0.273119,113.171
0.27002,113.804
0.266197,114.291
0.261464,114.572
0.255942,114.669
0.250228,114.7
0.244645,114.741
0.239174,114.803
0.233927,114.914
0.228973,115.096
0.224291,115.347
0.219851,115.65
0.215625,115.994
0.211573,116.363
0.207728,116.793
0.204105,117.296
0.200693,117.863
0.197142,118.374
0.19323,118.759
0.189004,119.028
0.184788,119.262
0.18083,119.512
0.177201,119.771
0.174154,120.072
0.171898,120.436
0.170491,120.842
0.169684,121.166
0.169239,121.327
0.169051,121.329
0.168816,121.165
0.168244,120.85
0.167219,120.423
0.165764,119.927
0.163989,119.387
0.162044,118.816
0.160147,118.237
0.158462,117.666
0.15706,117.103
0.15605,116.564
0.155511,116.065
0.15546,115.608
0.1559,115.189
0.156842,114.798
0.158327,114.424
0.16046,114.053
0.163414,113.675
0.167414,113.288
0.17257,112.857
0.178906,112.353
0.186373,111.753
0.194045,111.054
0.200753,110.287
0.205787,109.497
0.208479,108.72
0.208693,107.977
0.206863,107.283
0.20355,106.663
0.199259,106.144
0.194378,105.749
0.189273,105.495
0.184122,105.378
0.178939,105.374
0.173766,105.446
0.16863,105.556
0.163552,105.67
0.159006,105.802
0.155739,105.978
0.154727,106.295
0.154812,106.629
0.154731,106.898
0.154335,107.162
0.153801,107.512
0.153101,108.009
0.15202,108.668
0.15071,109.444
0.149269,110.239
0.147675,110.968
0.145934,111.591
0.144183,112.114
0.14268,112.575
0.141663,113.032
0.141281,113.542
0.141512,114.135
0.141892,114.804
0.141808,115.481
0.140774,116.057
0.138936,116.392
0.136919,116.387
0.135444,116.051
