Date,u,v
01/01/2018 0:00,0,0
01/01/2018 1:20,-0.234462,-0.0455321
01/01/2018 2:40,-0.714849,-0.0307546
01/01/2018 4:00,-0.48505,-0.0227734
01/01/2018 5:20,-0.283929,0.0149945
01/01/2018 6:40,-0.205897,-0.0304152
01/01/2018 8:00,-0.183624,-0.0245009
01/01/2018 9:20,-0.015884,-0.031277
01/01/2018 10:40,-0.0257417,-0.0206029
01/01/2018 12:00,0.318101,-0.0229908
01/01/2018 13:20,0.196306,0.027843
01/01/2018 14:40,0.0825459,0.0211695
01/01/2018 16:00,0.0470524,0.016839
01/01/2018 17:20,0.00356148,0.0433204
01/01/2018 18:40,-0.0105313,0.0511282
01/01/2018 20:00,-0.0179053,0.0525308
01/01/2018 21:20,-0.0221137,0.0460722
01/01/2018 22:40,-0.0187233,0.0464923
02/01/2018 0:00,-0.0135579,0.0431802
02/01/2018 1:20,-0.0173129,0.0433552
02/01/2018 2:40,-0.0166617,0.0418478
02/01/2018 4:00,-0.0126951,0.0411767
02/01/2018 5:20,0.191389,0.0435906
02/01/2018 6:40,0.0577637,0.0199256
02/01/2018 8:00,0.018472,0.0504016
02/01/2018 9:20,0.00180709,0.0615809
02/01/2018 10:40,0.0025908,0.0614326
02/01/2018 12:00,0.00651087,0.0586148
02/01/2018 13:20,0.0139018,0.0593043
02/01/2018 14:40,0.0184092,0.0519969
02/01/2018 16:00,0.0223432,0.0459315
02/01/2018 17:20,0.0228819,0.0398503
02/01/2018 18:40,0.384939,-0.00179488
02/01/2018 20:00,2.99131,0.102575
02/01/2018 21:20,0.625972,-0.232415
02/01/2018 22:40,-0.236145,-0.184051
03/01/2018 0:00,-0.019229,0.0539897
